Datetime,rt_15min_lmp ($/MWh)
2023-02-25T00:00:00.000Z,-12.0772946
2023-02-25T00:15:00.000Z,-20.8415718
2023-02-25T00:30:00.000Z,-14.3887226
2023-02-25T00:45:00.000Z,4.8224918
2023-02-01T00:00:00.000Z,117.1357936
2023-02-01T00:15:00.000Z,78.6699018
2023-02-01T00:30:00.000Z,92.785763
2023-02-01T00:45:00.000Z,122.0900268
2022-12-15T00:00:00.000Z,522.48014
2022-12-15T00:15:00.000Z,478.4131954
2022-12-15T00:30:00.000Z,527.090452
2022-12-15T00:45:00.000Z,552.746754
2022-12-16T00:00:00.000Z,312.0404868
2022-12-16T00:15:00.000Z,288.3231344
2022-12-16T00:30:00.000Z,321.1789672
2022-12-16T00:45:00.000Z,359.7858516
2022-12-17T00:00:00.000Z,363.1688312
2022-12-17T00:15:00.000Z,297.4447
2022-12-17T00:30:00.000Z,373.5368
2022-12-17T00:45:00.000Z,382.281585
2023-03-03T00:00:00.000Z,-7.3379852
2023-03-03T00:15:00.000Z,-0.0098
2023-03-03T00:30:00.000Z,46.2952
2023-03-03T00:45:00.000Z,93.500624
2023-03-04T00:00:00.000Z,-29.7778194
2023-03-04T00:15:00.000Z,-11.1679918
2023-03-04T00:30:00.000Z,-9.5623794
2023-03-04T00:45:00.000Z,-4.539066
2023-03-05T00:00:00.000Z,-14.2562756
2023-03-05T00:15:00.000Z,-10.7796766
2023-03-05T00:30:00.000Z,1.930992
2023-03-05T00:45:00.000Z,64.863358
2023-04-12T00:00:00.000Z,37.715839
2023-04-12T00:15:00.000Z,28.220472
2023-04-12T00:30:00.000Z,31.174976
2023-04-12T00:45:00.000Z,44.102352
2023-04-13T00:00:00.000Z,57.4242368
2023-04-13T00:15:00.000Z,33.18525
2023-04-13T00:30:00.000Z,38.7995818
2023-04-13T00:45:00.000Z,58.4824898
2023-04-14T00:00:00.000Z,7.896007
2023-04-14T00:15:00.000Z,0.1924622
2023-04-14T00:30:00.000Z,16.1557312
2023-04-14T00:45:00.000Z,31.9533508
2022-12-30T00:00:00.000Z,179.7516
2022-12-30T00:15:00.000Z,139.3356258
2022-12-30T00:30:00.000Z,153.8848724
2022-12-30T00:45:00.000Z,197.3485584
2022-12-31T00:00:00.000Z,117.957014
2022-12-31T00:15:00.000Z,98.987007
2022-12-31T00:30:00.000Z,121.122953
2022-12-31T00:45:00.000Z,146.7172994
2023-01-01T00:00:00.000Z,114.0813198
2023-01-01T00:15:00.000Z,102.9788508
2023-01-01T00:30:00.000Z,111.06977
2023-01-01T00:45:00.000Z,125.1822796
2023-02-12T00:00:00.000Z,47.805723
2023-02-12T00:15:00.000Z,14.8100246
2023-02-12T00:30:00.000Z,40.6611604
2023-02-12T00:45:00.000Z,63.5966786
2023-02-13T00:00:00.000Z,65.7612536
2023-02-13T00:15:00.000Z,35.8792504
2023-02-13T00:30:00.000Z,48.778618
2023-02-13T00:45:00.000Z,71.1924626
2023-02-14T00:00:00.000Z,28.7904008
2023-02-14T00:15:00.000Z,22.3706952
2023-02-14T00:30:00.000Z,40.1967286
2023-02-14T00:45:00.000Z,53.129181
2023-02-16T00:00:00.000Z,-7.3552136
2023-02-16T00:15:00.000Z,3.089401
2023-02-16T00:30:00.000Z,29.5784776
2023-02-16T00:45:00.000Z,64.2504268
2023-02-17T00:00:00.000Z,-42.720111
2023-02-17T00:15:00.000Z,-31.4503168
2023-02-17T00:30:00.000Z,38.539725
2023-02-17T00:45:00.000Z,78.7912552
2023-02-18T00:00:00.000Z,53.059993
2023-02-18T00:15:00.000Z,27.673926
2023-02-18T00:30:00.000Z,42.8479226
2023-02-18T00:45:00.000Z,56.6971846
2022-12-30T00:00:00.000Z,179.7516
2022-12-30T00:15:00.000Z,139.3356258
2022-12-30T00:30:00.000Z,153.8848724
2022-12-30T00:45:00.000Z,197.3485584
2022-12-31T00:00:00.000Z,117.957014
2022-12-31T00:15:00.000Z,98.987007
2022-12-31T00:30:00.000Z,121.122953
2022-12-31T00:45:00.000Z,146.7172994
2023-01-01T00:00:00.000Z,114.0813198
2023-01-01T00:15:00.000Z,102.9788508
2023-01-01T00:30:00.000Z,111.06977
2023-01-01T00:45:00.000Z,125.1822796
2023-04-09T00:00:00.000Z,10.8891622
2023-04-09T00:15:00.000Z,11.5203998
2023-04-09T00:30:00.000Z,15.2251036
2023-04-09T00:45:00.000Z,35.060431
2023-04-10T00:00:00.000Z,11.0918556
2023-04-10T00:15:00.000Z,10.0342788
2023-04-10T00:30:00.000Z,16.7815396
2023-04-10T00:45:00.000Z,33.2507434
2023-04-11T00:00:00.000Z,86.75499
2023-04-11T00:15:00.000Z,41.937091
2023-04-11T00:30:00.000Z,67.116966
2023-04-11T00:45:00.000Z,86.6298048
2023-03-06T00:00:00.000Z,38.265472
2023-03-06T00:15:00.000Z,13.757485
2023-03-06T00:30:00.000Z,39.320834
2023-03-06T00:45:00.000Z,77.0348208
2023-03-07T00:00:00.000Z,-3.8969798
2023-03-07T00:15:00.000Z,-0.2402274
2023-03-07T00:30:00.000Z,-0.2305842
2023-03-07T00:45:00.000Z,103.3098164
2023-03-08T00:00:00.000Z,-10.78
2023-03-08T00:15:00.000Z,-3.28104
2023-03-08T00:30:00.000Z,5.1495668
2023-03-08T00:45:00.000Z,37.3856868
2022-12-12T00:00:00.000Z,406.092204
2022-12-12T00:15:00.000Z,334.1359784
2022-12-12T00:30:00.000Z,397.7468572
2022-12-12T00:45:00.000Z,456.79417
2022-12-13T00:00:00.000Z,476.7158648
2022-12-13T00:15:00.000Z,400.6511166
2022-12-13T00:30:00.000Z,472.129798
2022-12-13T00:45:00.000Z,478.352602
2022-12-14T00:00:00.000Z,532.97153
2022-12-14T00:15:00.000Z,441.3949204
2022-12-14T00:30:00.000Z,506.0670608
2022-12-14T00:45:00.000Z,596.30403
2023-02-03T00:00:00.000Z,93.8024934
2023-02-03T00:15:00.000Z,69.093871
2023-02-03T00:30:00.000Z,89.90275
2023-02-03T00:45:00.000Z,121.9831186
2023-02-04T00:00:00.000Z,65.5468982
2023-02-04T00:15:00.000Z,45.172316
2023-02-04T00:30:00.000Z,52.3670154
2023-02-04T00:45:00.000Z,82.0578206
2023-02-05T00:00:00.000Z,24.198454
2023-02-05T00:15:00.000Z,25.2850388
2023-02-05T00:30:00.000Z,44.8850584
2023-02-05T00:45:00.000Z,64.8349674
2023-04-06T00:00:00.000Z,4.0609044
2023-04-06T00:15:00.000Z,-0.029351
2023-04-06T00:30:00.000Z,4.1097378
2023-04-06T00:45:00.000Z,37.8731878
2023-04-07T00:00:00.000Z,3.2642918
2023-04-07T00:15:00.000Z,-3.1125878
2023-04-07T00:30:00.000Z,-0.2802408
2023-04-07T00:45:00.000Z,17.5978012
2023-04-08T00:00:00.000Z,23.0117034
2023-04-08T00:15:00.000Z,1.2448744
2023-04-08T00:30:00.000Z,11.1722254
2023-04-08T00:45:00.000Z,31.346231
